Name,Rating,Reviews,Type,Employe,Sector,Old
Kirloskar Electric Company,3.6,224,Retail,1 Lakh+ Employees,NaN,NaN
Themis Medicare,3.6,224,NBFC,1 Lakh+ Employees,NaN,NaN
Dinshaws,3.9,224,Engineering & Construction,10k-50k Employees,Public,86 years old
LM Wind Power,4.0,223,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Bajaj Hindusthan,4.2,222,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Mahindra Trucks & Buses,3.7,222,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
AIRBUS,3.8,229,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Hardcastle Restaurants,4.1,225,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Sequential Technology International,3.6,225,Banking,1 Lakh+ Employees,Public,30 years old
Zee Laboratories,3.3,225,Banking,1 Lakh+ Employees,Public,30 years old
Light & Wonder,3.9,224,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
NAV Backoffice,3.3,224,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Karamtara Engineering,3.6,224,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
TMEIC,4.0,224,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Amara Raja Power Systems,4.1,224,Banking,50k-1 Lakh Employees,Public,31 years old
Luxor Writing Instruments,4.0,223,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Eye-Q Super Speciality Eye Hospitals,3.5,223,BPO,50k-1 Lakh Employees,Public,41 years old
Anand Rathi Global Finance,3.6,223,Telecom,50k-1 Lakh Employees,Public,17 years old
Indian Metals & Ferro Alloys,4.2,221,Internet,1 Lakh+ Employees,Public,30 years old
Mindlance,3.7,226,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Expedia,4.1,225,Retail,1 Lakh+ Employees,NaN,NaN
doodleblue innovation,4.3,225,NBFC,1 Lakh+ Employees,NaN,NaN
ZIGRAM,4.2,225,Engineering & Construction,10k-50k Employees,Public,86 years old
Aptean,3.4,224,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Bellsonica Auto Component,4.0,224,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
BIC Cello,3.9,224,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Refinitiv,4.2,224,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Oil India,4.2,223,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Kyndal India,3.8,223,Banking,1 Lakh+ Employees,Public,30 years old
Bnp Paribas Securities,3.9,223,Banking,1 Lakh+ Employees,Public,30 years old
ESIC HOSPITAL,4.0,223,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Muthoot Homefin India,3.7,223,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Indchemie Health Specialities,4.0,223,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Elcamino Software,3.3,223,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Hinduja Finance,4.1,223,Banking,50k-1 Lakh Employees,Public,31 years old
Belstar Investment and Finance,4.3,223,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Eaton India Innovation Center,4.2,223,BPO,50k-1 Lakh Employees,Public,41 years old
Tekion,3.1,223,Telecom,50k-1 Lakh Employees,Public,17 years old
AgreeYa Solutions,3.5,223,Internet,1 Lakh+ Employees,Public,30 years old
Lincoln Pharmaceuticals,3.7,223,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Rochem Separation Systems,3.9,223,Retail,1 Lakh+ Employees,NaN,NaN
FCI CCM,4.4,223,NBFC,1 Lakh+ Employees,NaN,NaN
MARK EXHAUST SYSTEMS,4.0,223,Engineering & Construction,10k-50k Employees,Public,86 years old
MARK EXHAUST SYSTEMS,4.0,223,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Empower Retirement,3.8,223,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
