Name,Rating,Reviews,Type,Employe,Sector,Old
Highway Industries,4.0,245,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Walplast Products,3.9,245,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
National Contracting Company,4.2,243,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
YKK,3.9,243,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Ambuja Neotia,4.2,243,Banking,1 Lakh+ Employees,Public,30 years old
TDS Lithium-Ion Battery,4.2,249,Banking,1 Lakh+ Employees,Public,30 years old
Go Colors,4.1,247,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Hygienic Research Institute,4.3,247,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Micron Technology,3.7,247,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Alchemy Techsol India,3.7,246,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Mahle Anand Thermal Systems,4.3,246,Banking,50k-1 Lakh Employees,Public,31 years old
Flipkart Wholesale,4.1,246,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
